uid,name,vendor_name,address,latitude,longitude,city,country,open,close,logo_url,staff,payment_modes,contact_numbers,station_type,postal_code,zone,0,available,capacity,cost_per_unit,power_type,total,type,vehicle_type
REVBOLT_00012879,REVOS,REVOS,2187 Gali No 8 Kailash Nagar Gandhi Nagar,28.66515912,77.25819089,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918595116818""]",charging,110031,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016502,REVOS,REVOS,t 370 f chirag delhi near bhagat singh College ,28.53595523,77.22838651,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918920082807""]",charging,110017,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016486,REVOS,REVOS,Sindhu faram road gali  no 12  ,28.48829458,77.31854629,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919971709540""]",charging,110044,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016491,REVOS,REVOS,Sindhu faram road gali no 12,28.48895731,77.31872767,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919971709540""]",charging,110044,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017639,REVOS,REVOS,garrage no 57 gulabi bagh truck market,28.67135151,77.19360363,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919312478103""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017407,REVOS,REVOS,47 metro piller  No 124 Near Pratap Nagar metro,28.66792677,77.19373975,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919212431987""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00015281,REVOS,REVOS,Shop no 9 GT road shahdara near Shyam Lal college,28.67332153,77.28356492,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+918447496669""]",charging,110032,east-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017908,REVOS,REVOS,A992 JJ COLONY PANKHA ROAD UTTAM NAGAR,28.62232748,77.06790324,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917836885248""]",charging,110059,west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017402,REVOS,REVOS,47 Metro Piller no 124 Near Pratap Nagar Metro Station Delhi,28.66796736,77.19373673,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919212431987""]",charging,110007,north-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00017889,REVOS,REVOS,A992 JJ COLONY PANKHA ROAD UTTAM NAGAR,28.62230629,77.0679884,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+917836885248""]",charging,110059,west-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_005416,REVOS,REVOS,gali no 19  shop no 5 churiya mohalla Tughlaqabad ,28.52018759,77.26390768,Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919811373467""]",charging,110044,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
REVBOLT_00016474,REVOS,REVOS,Z17 Manav Kalyan camp  Okhla phase 2,28.53957189,77.2788972,New Delhi,India,00:00:00,00:00:00,https://ev.delhitransport.in/static/logo/revos.png,Unstaffed,UPI,"[""+919871106964""]",charging,110020,south-delhi,,1,3.3 kW,₹0 per unit,AC,1,5A/15A Socket,"['2W', '3W']"
